cep_consultado,api,logradouro,complemento,bairro,localidade,uf,raw_json
01224000,ViaCEP,Rua Jaguaribe,até 532 - lado par,Vila Buarque,São Paulo,SP,"{'cep': '01224-000', 'logradouro': 'Rua Jaguaribe', 'complemento': 'até 532 - lado par', 'unidade': '', 'bairro': 'Vila Buarque', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01259050,ViaCEP,Rua Aleixo Jorge,,Sumaré,São Paulo,SP,"{'cep': '01259-050', 'logradouro': 'Rua Aleixo Jorge', 'complemento': '', 'unidade': '', 'bairro': 'Sumaré', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01309020,ViaCEP,Rua Matias Aires,,Consolação,São Paulo,SP,"{'cep': '01309-020', 'logradouro': 'Rua Matias Aires', 'complemento': '', 'unidade': '', 'bairro': 'Consolação', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01227100,ViaCEP,Avenida Angélica,de 957 a 1709 - lado ímpar,Higienópolis,São Paulo,SP,"{'cep': '01227-100', 'logradouro': 'Avenida Angélica', 'complemento': 'de 957 a 1709 - lado ímpar', 'unidade': '', 'bairro': 'Higienópolis', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01308000,ViaCEP,Rua Barata Ribeiro,,Bela Vista,São Paulo,SP,"{'cep': '01308-000', 'logradouro': 'Rua Barata Ribeiro', 'complemento': '', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01309010,ViaCEP,Rua Antônio Carlos,lado par,Consolação,São Paulo,SP,"{'cep': '01309-010', 'logradouro': 'Rua Antônio Carlos', 'complemento': 'lado par', 'unidade': '', 'bairro': 'Consolação', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01318002,ViaCEP,Avenida Brigadeiro Luís Antônio,de 1500 a 2250 - lado par,Bela Vista,São Paulo,SP,"{'cep': '01318-002', 'logradouro': 'Avenida Brigadeiro Luís Antônio', 'complemento': 'de 1500 a 2250 - lado par', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01226010,ViaCEP,Rua das Palmeiras,até 99998 - lado par,Vila Buarque,São Paulo,SP,"{'cep': '01226-010', 'logradouro': 'Rua das Palmeiras', 'complemento': 'até 99998 - lado par', 'unidade': '', 'bairro': 'Vila Buarque', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01230000,ViaCEP,Rua Doutor Albuquerque Lins,lado par,Santa Cecília,São Paulo,SP,"{'cep': '01230-000', 'logradouro': 'Rua Doutor Albuquerque Lins', 'complemento': 'lado par', 'unidade': '', 'bairro': 'Santa Cecília', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01155010,ViaCEP,Rua Marta,,Barra Funda,São Paulo,SP,"{'cep': '01155-010', 'logradouro': 'Rua Marta', 'complemento': '', 'unidade': '', 'bairro': 'Barra Funda', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
